,index,track_id,name,artists_names,artists_ids,artists_count,popularity,duration
1280,1280,6Xi897JXNLSoIaoYZwgTLc,Dímelo,"Snakehips, Tory Lanez","2FwJwEswyIUAljqgjNSHgP, 2jku7tDXc6XoB6MO2hFuqg",2,51,3.2311
1281,1281,0vZL0tePFCiiBeB2BxTySp,Palomar - Original Mix,Monkey Safari,5zovXI5By2gUhdr7EByjLa,1,5,6.754333333333333
1282,1282,5qeL0fWg4IDLZNUjVu53f2,Feel Good Inc.,"filous, LissA","2IjiuEObrCKyZvSb8xLxG9, 6aAestjbtEbALwyIYPg8Na",2,42,3.9354833333333334
1283,1283,5igYlMP7goeQ6rSqAW4q3k,Scarif,"Black Sun Empire, Pythius","3PAXvY08KxX5HmCsmKw4x8, 0CRJK2gwHjs3IKm4uhjNTR",2,26,5.9825333333333335
1284,1284,4G5e6GxygyrlqMcDK0tkor,Elektricity Will Keep Me Warm - Live At Hospitality In The Park 2016,London Elektricity Big Band,6sW9ONvs2pFlOPFwpaCM9a,1,3,5.059716666666667
1285,1285,5kaITXaeWqAyVaa1ZPpV8Q,Пляски с медведем,Neuromonakh Feofan,5Lr1Om17ha56YMl8ejZIKe,1,11,3.84
1286,1286,5vGCKl5MOBQtb8cHKKhys7,Tear Your Soul,Muffler,4HSQ4ALTUXgWlSrhfc4LNA,1,10,5.36605
1287,1287,5BlAvicX7bHviDO5MGAQYB,Get out,"Tigerberry, Tony Krunk","1le4tpMyNV9gHlLu9Fut16, 3C6wnYcGabhhfhh6YjjNO1",2,0,4.685833333333333
1288,1288,25OkU9xM938vUxMxNiz2kc,Start Line,Muffler,4HSQ4ALTUXgWlSrhfc4LNA,1,19,4.378116666666667
1289,1289,1nrni11feutiL6PNF9IWyk,Pick Yourself Up,Gregory Porter,06nevPmNVfWUXyZkccahL8,1,31,3.1871
1290,1290,5Sr6JdwKgsnEK4utnlr3Fl,And The Girls Go,"Men Without Pants, Dan The Automator, Russell Simins","3MlDj97Ef9fYxNTSIeMUaI, 4fv5w0LJib9OMbXQegqZ01, 7eNC6QDjA4nOJ20flMhsM6",3,2,3.4251
1291,1291,170FQ459OeVkKYSSWWXPMB,Древнерусская душа,"Neuromonakh Feofan, Slot","5Lr1Om17ha56YMl8ejZIKe, 4RXhcND1sKXFNuZQ1dVTrI",2,34,4.50285
1292,1292,08S0hXPdew8VPJk2r7kkIv,Dream Sequence,"Keeno, James Everingham","6r54QO0889i9vqaeuruUSn, 2gn4jnqcC9yMXt6433gleQ",2,27,6.7020333333333335
1293,1293,2KHRENHQzTIQ001nlP9Gdc,Contact,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,1,54,6.393766666666667
1294,1294,6RBKPllSiDLF8u6mn9NJzx,Неваляшка,Oxxxymiron,1gCOYbJNUa1LBVO5rlx0jB,1,37,4.283333333333333
1295,1295,1TNuGWDXYmiHZ2Q5BYQeTt,До сих пор МС,Oxxxymiron,1gCOYbJNUa1LBVO5rlx0jB,1,27,3.407766666666667
1296,1296,5zAil5YxCXhU1cwyqq1Wjp,Пора возвращаться домой,"Bi-2, Oxxxymiron","3SXDCIdqI1AR686ukKtKCq, 1gCOYbJNUa1LBVO5rlx0jB",2,47,4.815433333333333
1297,1297,1ksHwezOxa3kEKct00kUOD,Me & You,NERO,4uRYpUQZrNrY5t8tAv3XrD,1,35,3.9203333333333332
1298,1298,60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,1,84,3.6146666666666665
1299,1299,0S6npsazTIPiXfhlyg9yNx,Saeed,Infected Mushroom,6S2tas4z6DyIklBajDqJxI,1,46,7.062
1300,1300,30FjilIce6H85IMU6ULp1l,Born Too Slow,The Crystal Method,5eKLa1xyHLq8ERWmT1CRHj,1,50,2.9966666666666666
1301,1301,6p2GqcuLlIRt4M9dgPQbmA,На Порядок Выше,Kasta,5I37oVgAnT7OGiqKJSMVRH,1,30,3.966666666666667
1302,1302,6MoTeX5dtuPZ3hwaecuBkz,Purple Noise,Boris Brejcha,6caPJFLv1wesmM7gwK1ACy,1,60,8.992
1303,1303,6WVKFbzx9mvQ8slBPkGgvF,Oulan Bator - Oliver Koletzki Remix,"Joachim Pastor, Oliver Koletzki","6eNOjuJSfKkAvbiGW90AkZ, 1WjBIvYAnZTkTh5UiZNwlR",2,31,7.117933333333333
1304,1304,1phXtgplgivDjmoYM6MNgR,Наши Люди,Kasta,5I37oVgAnT7OGiqKJSMVRH,1,10,3.7691
1305,1305,4OCMI5H0ll4pclTuTwPIgN,A Solas (En Vivo),Gustavo Santaolalla,4W3fa7tiXGVXl3KilbACqt,1,10,3.5191
1306,1306,2lNFWUrxuNaQsf5I1pDTPr,Sea Of Voices,Porter Robinson,3dz0NnIZhtKKeXZxLOxCam,1,47,4.983
1307,1307,4kdjHU5lzooUP7kkzQqX0Q,Zonnestraal,De Hofnar,1LFGVkNRmXz8jIkyPjaGNL,1,54,4.283166666666666
1308,1308,1NTkAH99G7fSJvpihOgogu,Halftime,Elzhi,6OwOuTjrLVrlMH1nxxIjbT,1,27,2.198916666666667
1309,1309,2TE1FOBGJ0h7xxIFUjppmd,Street Struck,Big L,30fiiwr2EeZp1tAhzYCmyM,1,52,4.160433333333334
1310,1310,2jtlU6H5C9WFB0x72f6YGo,Touch,"Hybrid Minds, Catching Cairo","05lF0DUkLJqiW5o70SScyR, 1MW1wqNtF2hNgsPfGDhrHB",2,62,5.2260333333333335
