,artist,name,pop,genres,followers
555,0VSi6lAB9txdaW5VEmIx9b,Tesla Boy,37,"alternative dance,chillwave,filter house,nu disco,popwave,russian synthpop,synthwave",46347
556,5daHbk6DuuCUxXRoKWlf5f,De Lorra,39,chillsynth,10547
557,60hGAZqZ60I2EhUi0f4j2N,Anturage,30,groove room,4298
558,4bzppvW4geKqxLC5VYJn2G,Alexey Union,31,,4344
559,1tlScBqJkLMyYyJzRRBv51,Ballarak,34,acid techno,2616
560,4kvCU3MzggM2piZCqvxj0x,Go_A,53,eurovision,164317
561,1ChtRJ3f4rbv4vtz87i6CD,Cassian,50,nu disco,25986
562,4ORnI4BzjKFbUply6fRvkX,ÄTNA,47,"dresden indie,german indie",27389
563,694Mu9TpePnihtyxVNHBW2,Ronald Christoph,40,,8805
564,4CFVwKkEV3fPV2hr6ISfPH,Orlando,40,,971
565,4RsEAdLhbUy7j3zHWauPwF,BLESSED MANE,45,drift phonk,26442
566,2MMQGv11auKaxIgY947hjE,Santé,34,german tech house,16606
567,4y1eyk2JVkPas4YL2afxCu,J.U.D.G.E,28,,101
568,3VEqFWRt47xQAZJMBF3duQ,Grum,46,"edm,filter house,progressive house,progressive trance",52326
569,6pDapjUwN36LXMdYk0WKuQ,Natalie Shay,37,,2338
570,7GeAzBsalYANXTi1ReOm1R,Stanton Warriors,37,"big beat,breakbeat,bristol electronic,nu skool breaks",55092
571,7zC1kmzlWj5EhiM3Rks7cX,Четыре Сыра,3,,499
572,50zXSyc1rZpC4NnVlDLfRG,Наконечный,21,,1230
573,2fCBXGD9kIT47ULI76t8NE,Yorsh,31,"russian pop punk,russian punk,russian punk rock,russian rock",82683
574,5geDYlKMepgJIVEkvyKv9Y,ДМЦ,26,"russian alternative rock,russian rock",6092
575,4Mv1DnpVlkjO6MbPU1TJ7R,"1,5 кг отличного пюре",19,"russian pop punk,russian punk,russian punk rock,russian ska",17894
576,6eNOjuJSfKkAvbiGW90AkZ,Joachim Pastor,52,"french tech house,minimal techno,new french touch,tropical house",109273
577,7il6z1RANNDWYlYnIevd4L,Dino Lenny,39,"dark disco,italian techno",8244
578,39HLbTdg48gwqAIa1CA266,BLOW,44,"french indie pop,french indietronica,new french touch",35651
579,7nAVQVPYs1x4WsCobkBjX1,Zenith,8,"acid trance,experimental jazz",630
580,5b0sKzG9NeO7OjbZJ61ZBN,Ginger,45,,1578
581,1f5QPXLfjlzlG77lCkdl0W,Henry Saiz,36,"spanish techno,tech house",39172
582,5Hini2nQyoglzpdKe41cZt,UMEK,46,"dark techno,minimal techno,raw techno,slovenian electronic,tech house,techno",144248
583,7KxmXTMMSMu1DIYA2G3CNZ,Quench,26,"ambient idm,deep idm",2220
584,06GhEhJGOxXfSVFlyaN6Le,CWT,24,"russian punk,russian punk rock,russian rock",14217
585,3OHnTiMsWYjSyj52aKmrBP,Kings Of The Rollers,43,bass house,24470
586,2GqsdDatnAThpQYfuW0yYs,Lydia Plain,36,,368
587,3MyFDtqB80WZvbtCZRsekM,Bakermat,63,"deep euro house,deep tropical house,minimal tech house,pop dance,tropical house",357075
588,6r54QO0889i9vqaeuruUSn,Keeno,39,"drum and bass,liquid funk,vocaloid",53350
589,5MOQAMudR22V5K5P9rDF32,Polaris,28,"atmospheric dnb,liquid funk",3561
590,3tUuyM5RyjpHXGOJ2w83xA,Taras Bazeev,27,russian electronic,1148
591,0WSSKmoRbxqLf3MnXInQ2J,Max Cooper,47,"electronica,microhouse,minimal techno,modular synth,tech house",145730
592,0Zw91yH74OemLqD4rHn96K,Elena Pitoulis,42,,283
593,6sOEMfvCfHQ9dhSWyamXVb,Nils Hoffmann,57,"deep minimal techno,progressive house",28375
594,0QaSiI5TLA4N7mcsdxShDO,Sub Focus,61,"dancefloor dnb,drum and bass,uk dance,uk dnb",341091
595,6m8itYST9ADjBIYevXSb1r,Wilkinson,63,"dancefloor dnb,drum and bass,house",209314
596,3rVvL036o05Y34SPRsW63P,Elfenberg,37,"ethnotronica,organic electronic,organic house",16724
597,2bMCqLC25iBaqp2gDYEgDT,Danay Suárez,42,"cuban alternative,hip hop cubano,rap latina",54440
598,2f9PTWJfMMDTAFZcvHy1Z5,OVERWERK,46,"canadian electronic,complextro,edm,electro house",131534
599,4jd8Wp3Os5tXFV0NYm1570,maxime.,43,"hyperpop,ottawa indie",21452
600,1WjBIvYAnZTkTh5UiZNwlR,Oliver Koletzki,54,"electronica,german techno,minimal techno,organic electronic,organic house,tech house",307038
601,7Lkrx8ZHssF4eRu7lSHJxJ,АрХангел,31,,6990
602,1zl7d2GmNgwlPCiX4tX6pm,Белла,24,,37
603,5sL9uDMwceYHPknnCLAAwJ,GusGus,44,"alternative dance,big beat,electronica,icelandic electronic,icelandic pop,trip hop",167728
604,7oDTyDfeA2JE2jUZztkBj8,Vök,40,"icelandic electronic,icelandic pop",66237
605,4L9PX6lwPWo2NeuXL9kyJK,Spencer Brown,43,"progressive house,progressive trance",39144
606,6ckI88Ggj8DPe0TNAAVkjn,ALPHA 9,45,"edm,pop dance,progressive house,progressive trance,russian trance,trance,uplifting trance",43161
607,0YCqg8X5gx0MremW64Ud1h,ДДТ,42,"classic russian rock,russian alternative rock,russian folk rock,russian rock",633770
