,index,track_id,name,artists_names,artists_ids,artists_count,popularity,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
823,810,53i0NQW6ytb5gPheBhRKZA,Welcome to Night City,Head Splitter,15nEVeIcqkAHozFdELFtrN,1,1,4.00065,0.347,0.478,8,-10.341,1,0.0406,0.0401,0.748,0.111,0.031,199.964,audio_features,53i0NQW6ytb5gPheBhRKZA,spotify:track:53i0NQW6ytb5gPheBhRKZA,https://api.spotify.com/v1/tracks/53i0NQW6ytb5gPheBhRKZA,https://api.spotify.com/v1/audio-analysis/53i0NQW6ytb5gPheBhRKZA,240039,4
824,811,43DBhwmvfhWTQwBRmJsafC,My Name is Dark - Art Mix,Grimes,053q0ukIDRgzwTr4vNSwab,1,50,5.934616666666667,0.517,0.842,6,-5.844,1,0.042,0.00289,0.416,0.0997,0.464,124.015,audio_features,43DBhwmvfhWTQwBRmJsafC,spotify:track:43DBhwmvfhWTQwBRmJsafC,https://api.spotify.com/v1/tracks/43DBhwmvfhWTQwBRmJsafC,https://api.spotify.com/v1/audio-analysis/43DBhwmvfhWTQwBRmJsafC,356078,4
825,812,2ky3XLttUU3pgdKWTG0M4S,Atlas,"Marc Romboy, Stephan Bodzin","623ecFS6T9xsx9Rb98eii5, 2nq2BeSbzExGAv3Y4HgUf7",2,24,8.1988,0.808,0.448,11,-10.199,1,0.0627,0.00114,0.804,0.0456,0.137,125.003,audio_features,2ky3XLttUU3pgdKWTG0M4S,spotify:track:2ky3XLttUU3pgdKWTG0M4S,https://api.spotify.com/v1/tracks/2ky3XLttUU3pgdKWTG0M4S,https://api.spotify.com/v1/audio-analysis/2ky3XLttUU3pgdKWTG0M4S,491929,4
826,813,1UoTyVpNXRMIcO35M14lRB,Here 4 U - Alison Wonderland x BLESSUS,"Alison Wonderland, BLESSUS","11gWrKZMBsGQWmobv3oNfW, 0j8SBJBFRlQk98KDihCL5X",2,40,2.75625,0.549,0.702,1,-4.809,1,0.309,0.0549,0.467,0.34,0.447,160.048,audio_features,1UoTyVpNXRMIcO35M14lRB,spotify:track:1UoTyVpNXRMIcO35M14lRB,https://api.spotify.com/v1/tracks/1UoTyVpNXRMIcO35M14lRB,https://api.spotify.com/v1/audio-analysis/1UoTyVpNXRMIcO35M14lRB,165376,4
827,814,1SHecZbYVhuEvNKINGJOnc,Basic Instinct - Thomas Jack Remix,"Thomas Jack, The Acid","6JmzdIDSQdeHg0pocIascm, 0bRtSoJSpQdnbB3dWrWprR",2,38,6.466666666666667,0.749,0.639,2,-8.308,1,0.0351,0.196,0.829,0.0953,0.0368,119.996,audio_features,1SHecZbYVhuEvNKINGJOnc,spotify:track:1SHecZbYVhuEvNKINGJOnc,https://api.spotify.com/v1/tracks/1SHecZbYVhuEvNKINGJOnc,https://api.spotify.com/v1/audio-analysis/1SHecZbYVhuEvNKINGJOnc,388000,4
828,815,5GWk4mjGmPLZiXHETqMlhW,Devuélvete,Carla Morrison,0XK6kT7xcZAlcYrNjOgzJe,1,58,3.9598666666666666,0.396,0.329,11,-7.189,0,0.0294,0.867,8.65e-06,0.249,0.0546,133.764,audio_features,5GWk4mjGmPLZiXHETqMlhW,spotify:track:5GWk4mjGmPLZiXHETqMlhW,https://api.spotify.com/v1/tracks/5GWk4mjGmPLZiXHETqMlhW,https://api.spotify.com/v1/audio-analysis/5GWk4mjGmPLZiXHETqMlhW,237593,4
829,816,6dO718ifYwuMljavDSLTTD,Chemical (feat. Ahsha & Lemay) - Hex Cougar Remix,"KRANE, Lemay, Ahsha, Hex Cougar","2aOoD3zsuYforFcDvUpZoH, 7zySlNgrPI1dWfMBIjTIKD, 318Hgipp6taFiCWfOcNOq2, 0AlNB0yIoyxdKloLmK9AOR",4,46,3.9466666666666668,0.37,0.798,5,-1.212,0,0.11,0.122,3.47e-05,0.108,0.224,149.785,audio_features,6dO718ifYwuMljavDSLTTD,spotify:track:6dO718ifYwuMljavDSLTTD,https://api.spotify.com/v1/tracks/6dO718ifYwuMljavDSLTTD,https://api.spotify.com/v1/audio-analysis/6dO718ifYwuMljavDSLTTD,236800,4
830,817,2ZuYeDZ9TwwY1YIDsEZ1NB,Niemand,KOMPROMAT,1QYA7hFYKc0EuhE2MGpjH7,1,45,4.064,0.628,0.603,4,-8.459,1,0.0382,0.00122,0.0517,0.568,0.646,118.985,audio_features,2ZuYeDZ9TwwY1YIDsEZ1NB,spotify:track:2ZuYeDZ9TwwY1YIDsEZ1NB,https://api.spotify.com/v1/tracks/2ZuYeDZ9TwwY1YIDsEZ1NB,https://api.spotify.com/v1/audio-analysis/2ZuYeDZ9TwwY1YIDsEZ1NB,243840,4
831,818,7FWqBokGVQWSTz2r3cARwu,Miranda,"Marc Romboy, Stephan Bodzin","623ecFS6T9xsx9Rb98eii5, 2nq2BeSbzExGAv3Y4HgUf7",2,20,8.480216666666667,0.808,0.511,5,-12.688,0,0.0761,7.47e-05,0.935,0.104,0.148,125.012,audio_features,7FWqBokGVQWSTz2r3cARwu,spotify:track:7FWqBokGVQWSTz2r3cARwu,https://api.spotify.com/v1/tracks/7FWqBokGVQWSTz2r3cARwu,https://api.spotify.com/v1/audio-analysis/7FWqBokGVQWSTz2r3cARwu,508813,4
832,819,24upABZ8A0sAepfu91sEYr,Moon (And It Went Like),"Kid Francescoli, Julia Minkin","2G7QgTep5IsJHGHm1hXygD, 63fbQTZ9yW3SUsBRYcn1Wm",2,67,6.510633333333334,0.662,0.657,7,-10.002,1,0.0345,0.288,0.856,0.102,0.0584,117.986,audio_features,24upABZ8A0sAepfu91sEYr,spotify:track:24upABZ8A0sAepfu91sEYr,https://api.spotify.com/v1/tracks/24upABZ8A0sAepfu91sEYr,https://api.spotify.com/v1/audio-analysis/24upABZ8A0sAepfu91sEYr,390639,4
833,820,6jPjRsbj4iPKwNLXBpbtl0,По пятам,Lisa,19s3OlHgx1FuQEcBFcEMuX,1,12,3.6,0.653,0.793,10,-6.997,1,0.0373,0.0827,0.624,0.0821,0.157,105.02,audio_features,6jPjRsbj4iPKwNLXBpbtl0,spotify:track:6jPjRsbj4iPKwNLXBpbtl0,https://api.spotify.com/v1/tracks/6jPjRsbj4iPKwNLXBpbtl0,https://api.spotify.com/v1/audio-analysis/6jPjRsbj4iPKwNLXBpbtl0,216000,4
834,821,14xa5Q4NBckPeojHUMAiz1,Бесконечная,"GROT, Vlady","6X3N6AIX6d8hH0EcZkhzVR, 4hkwrlVarJxzFA6h4UMi6A",2,18,4.994516666666667,0.478,0.941,2,-2.361,1,0.196,0.0859,0.0,0.0782,0.363,83.017,audio_features,14xa5Q4NBckPeojHUMAiz1,spotify:track:14xa5Q4NBckPeojHUMAiz1,https://api.spotify.com/v1/tracks/14xa5Q4NBckPeojHUMAiz1,https://api.spotify.com/v1/audio-analysis/14xa5Q4NBckPeojHUMAiz1,299671,4
835,822,1tztYYhGXSxlBhMtUESBC4,Наш гимн России,Kasta,5I37oVgAnT7OGiqKJSMVRH,1,11,3.9800833333333334,0.608,0.765,10,-4.6,1,0.251,0.561,0.0,0.11,0.228,84.847,audio_features,1tztYYhGXSxlBhMtUESBC4,spotify:track:1tztYYhGXSxlBhMtUESBC4,https://api.spotify.com/v1/tracks/1tztYYhGXSxlBhMtUESBC4,https://api.spotify.com/v1/audio-analysis/1tztYYhGXSxlBhMtUESBC4,238806,4
836,823,4qjvm3eFsTe8nY5Vm2CxE7,Secret Smile,"Technimatic, Lucy Kitchen","1LhB1j0Zq3tjBeG3k8gq7V, 601g3yFaEu1D7gjvuk9TbH",2,40,5.679133333333334,0.603,0.776,7,-6.163,0,0.101,0.00212,0.643,0.0726,0.176,174.01,audio_features,4qjvm3eFsTe8nY5Vm2CxE7,spotify:track:4qjvm3eFsTe8nY5Vm2CxE7,https://api.spotify.com/v1/tracks/4qjvm3eFsTe8nY5Vm2CxE7,https://api.spotify.com/v1/audio-analysis/4qjvm3eFsTe8nY5Vm2CxE7,340749,4
